Category_Number,Category_Description,DefaultModifier,Link1,Link2,Fractional,Auto_Add,Instruction,Non_Sale,PrintGroup,Tax1,Tax2,Tax3,Tax4,CategoryChangeDate,LoyaltyPointsPerDollar,PurchaseTAXCode,DeptGrp,rowGUID,Restricted,TouchLink,MinTouchLink,MaxTouchLink,RestrictedMessage,EFTCode,BackColour,FontColour,Commission,ERPProductCode
1,VAT 19%,NONE,20000,20000,0,0,0,0,1,1,0,0,0,2026-06-10 21:01:08.623,1.0,1,1,8A960FB5-DA04-416B-A1CE-092ABDE7D85C,0,0,1,1,NULL,NULL,-9404272,-16777216,0.0,
2,VAT 5%,None,20000,20000,0,0,0,0,2,0,1,0,0,2026-06-10 21:01:08.623,1.0,2,1,70430ECF-B97D-479A-8445-18BD6A9DB242,0,0,1,1,NULL,NULL,-9404272,-16777216,0.0,
3,VAT 3%,None,20000,20000,0,0,0,0,5,1,0,0,0,2026-06-10 21:01:08.623,1.0,1,1,8E010170-2D07-47DE-8948-863BE4DEE472,0,0,1,1,NULL,NULL,-9404272,-16777216,0.0,
4,VAT 0%,NONE,20000,20000,0,0,0,0,3,0,0,0,0,2026-06-10 21:01:08.623,1.0,0,1,875A7AC5-A62C-4FDB-B952-EEBFB8ADD4F7,0,0,1,1,NULL,NULL,-9404272,-16777216,0.0,
98,DISCOUNT,None,20000,20000,0,0,0,0,2,1,0,0,0,2026-06-10 21:01:08.623,1.0,1,1,26C784A2-AF62-4095-98BF-81A1F40DAB27,0,0,1,1,NULL,NULL,-9404272,-16777216,0.0,
99,SYSTEM,None,20000,20000,0,0,0,0,4,1,0,0,0,2026-06-10 21:01:08.623,1.0,1,1,F27CC4D0-B0A8-4C35-AFBF-AD0D5D7E0AC2,0,0,1,1,NULL,NULL,-9404272,-16777216,0.0,
